vds_id,avg_speed,traffic_volume,occupancy,hour,date,route_no,direction,km
0010VDE30400,89.24,942,1.94,0,2026-02-03,0010,E,392.5
0010VDE30500,86.99,1056,1.9,0,2026-02-03,0010,E,394.0
0010VDE30600,90.87,875,1.79,0,2026-02-03,0010,E,395.0
0010VDE30800,92.92,805,1.88,0,2026-02-03,0010,E,399.7
0010VDE30900,92.91,986,2.02,0,2026-02-03,0010,E,401.0
0010VDE30910,56.18,75,1.98,0,2026-02-03,0010,E,406.5
0010VDE31400,96.14,1292,0.46,0,2026-02-03,0010,E,406.5
0010VDE31500,93.23,1315,0.46,0,2026-02-03,0010,E,408.2
0010VDE31800,97.32,726,1.17,0,2026-02-03,0010,E,411.6
0010VDE31900,97.44,1615,0.43,0,2026-02-03,0010,E,412.3
0010VDE32150,104.19,1563,0.41,0,2026-02-03,0010,E,413.2
0010VDE32250,104.75,1619,0.39,0,2026-02-03,0010,E,414.3
0010VDE32350,101.93,1508,0.38,0,2026-02-03,0010,E,415.3
0010VDE30400,87.62,986,1.91,1,2026-02-03,0010,E,392.5
0010VDE30500,83.99,758,1.84,1,2026-02-03,0010,E,394.0
0010VDE30600,87.78,579,1.72,1,2026-02-03,0010,E,395.0
0010VDE30800,90.89,849,1.77,1,2026-02-03,0010,E,399.7
0010VDE30900,91.78,912,1.8,1,2026-02-03,0010,E,401.0
0010VDE30910,54.67,69,2.33,1,2026-02-03,0010,E,406.5
0010VDE31400,94.51,1017,0.49,1,2026-02-03,0010,E,406.5
0010VDE31500,92.57,869,0.47,1,2026-02-03,0010,E,408.2
0010VDE31800,94.91,621,1.14,1,2026-02-03,0010,E,411.6
0010VDE31900,95.7,1163,0.46,1,2026-02-03,0010,E,412.3
0010VDE32150,101.9,1123,0.42,1,2026-02-03,0010,E,413.2
0010VDE32250,102.66,1112,0.41,1,2026-02-03,0010,E,414.3
0010VDE32350,98.98,1047,0.42,1,2026-02-03,0010,E,415.3
0010VDE30400,85.46,762,1.73,2,2026-02-03,0010,E,392.5
0010VDE30500,82.89,658,1.71,2,2026-02-03,0010,E,394.0
0010VDE30600,87.75,484,1.62,2,2026-02-03,0010,E,395.0
